Mes,DÍA,T. MEDIA,T. MÁX,T. MÍN,V. MEDIA VIENTO,RACHAS MÁX,PRESIÓN MEDIA,LLUVIA
January,1,21 °C,32 °C,14 °C,12.3 km/h,-- km/h,1016 hPa,-- mm
January,2,24 °C,31 °C,16 °C,13.9 km/h,35.2 km/h,1014.2 hPa,-- mm
January,3,22 °C,30 °C,13 °C,14.7 km/h,-- km/h,1014.5 hPa,-- mm
January,4,21 °C,30 °C,13 °C,13.1 km/h,-- km/h,1012.4 hPa,-- mm
January,5,23 °C,32 °C,14 °C,15.2 km/h,-- km/h,1010.4 hPa,-- mm
January,6,22 °C,31 °C,14 °C,13.1 km/h,-- km/h,1013.1 hPa,-- mm
January,7,23 °C,31 °C,15 °C,13.9 km/h,-- km/h,1014.5 hPa,-- mm
January,8,24 °C,31 °C,17 °C,14.3 km/h,-- km/h,1013.9 hPa,-- mm
January,9,22 °C,30 °C,17 °C,13.6 km/h,-- km/h,1014.8 hPa,-- mm
January,10,23 °C,30 °C,17 °C,13.9 km/h,-- km/h,1013.4 hPa,-- mm
January,11,24 °C,33 °C,15 °C,12.5 km/h,-- km/h,1013.8 hPa,-- mm
January,12,26 °C,34 °C,16 °C,13.5 km/h,-- km/h,1011.8 hPa,-- mm
January,13,27 °C,35 °C,18 °C,12.7 km/h,-- km/h,1013 hPa,-- mm
January,14,25 °C,32 °C,17 °C,15.5 km/h,-- km/h,1010.5 hPa,-- mm
January,15,22 °C,31 °C,14 °C,13.4 km/h,-- km/h,1012 hPa,-- mm
January,16,22 °C,31 °C,13 °C,14 km/h,-- km/h,1014 hPa,-- mm
January,17,25 °C,34 °C,15 °C,11.7 km/h,-- km/h,1013.3 hPa,-- mm
January,18,27 °C,35 °C,17 °C,13.9 km/h,-- km/h,1011.8 hPa,-- mm
January,19,25 °C,35 °C,16 °C,12.6 km/h,-- km/h,1013.3 hPa,-- mm
January,20,27 °C,37 °C,18 °C,12.7 km/h,29.6 km/h,1012.5 hPa,-- mm
January,21,26 °C,35 °C,18 °C,12.5 km/h,-- km/h,1012.4 hPa,-- mm
January,22,23 °C,30 °C,17 °C,13.3 km/h,-- km/h,1015 hPa,-- mm
